_FIVETRAN_SYNCED,ACTIVE_IN_ACTIVE,ACTUAL_RISK_OF_THE_OBSERVATION,AOC_AS_PER_NEW_VIQ,AGE_2,AREA_OF_CONCERN,AUTHORITY,CAUSE_ANALYSIS,COUNTRY,CREW_NATIONALITY,DEFICIENCY_COUNT,DEFICIENCY_COUNT_FOR_BI,ELMER_ESTRELLA,FLEET_,IMMEDIATE_ACTION_TAKEN,IMO_NO,GROUP,INSPECTION_FROM_DATE,INSPECTION_TYPE,INSPECTOR,MARINE_MANAGER,MARINE_SUPERINTENDENT,NATIONALITY_OF_THE_CREW,NATURE_OF_DEFICIENCY,OWNER_GROUP,PERIOD,PORT_NAME,POTENTIAL_RISK_OF_THE_OBSERVATION,PSC_CATEGORY,PSC_CODE,PSC_SUB_CATEGORY,R_OWNERS,REFERENCE_CODE_1,REFERENCE_NO_,REGISTERED_OWNER_OF_THE_SHIP,REMARKS,RESIDUAL_RISK_AFTER_CA_,SHIPPALM_REF_,SUGGESTED_CORRECTIVE_ACTION,TECHNICAL_MANAGER,TECHNICAL_SUPERINTENDENT,HAND_OVER_DATE_MOD,VESSEL_NAME,VESSEL_TYPE,YARD,YEAR_BUILD,AGE_OF_VESSEL,STATUS,COLUMN_1,COLUMN_2,"""Dry/Wet""",VESSEL_TYPE_1,FLAG_STATE,ACTUAL_OWNERS,DETENTION,MANAGER_GROUP
2025-04-29T12:10:33.345Z,Active,null,null,null,null,Tokyo MoU,null,China,Indian/Srilankan,null,1,null,Fleet B,null,9707364,null,30-05-24,PSC,"Chen jianfeng, wang kai, hou haihua",Damanjeet Singh Bakshi,Prateek Tripathi,null,Rescue boat and starboard survival craft cannot launched by hand within in the resuce boat and survial craft during inspection (no hand release wire),GENCO,Q2 - 2024,Jiangyin,null,Life saving appliances,11113,Launching arrangements for rescue boats,null,17,2024PSC64,Genco Magic Ltd,null,null,null,null,Sanjay Kumar Jaiswal,kalicharan ,23-07-24,Genco Magic,Bulk Carrier,Jiangsu New Hantong Ship Heavy Industry,null,10.97,Open,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:10:33.315Z,Active,null,null,null,null,Riyadh MOU,null,Saudi Arabia,Indian,null,1,null,Fleet C,null,9742663,null,04-08-23,PSC,Rami Moninah,Damanjeet Singh Bakshi,Shailendra Dixit,null,Cargo hatch cover corrosion,Genco,Q3 - 2023,Jeddah,null,Cargo operations including equipment,6199,Other (cargo operations including equipment),null,18,2023PSC075,Genco Vigilant Ltd,null,null,null,null,Angarayan,Prakash Raajppha,07-07-24,Genco Vigilant,Bulk Carrier,Jiangsu New Hantong Ship Heavy Industry,null,9.99,Open,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:10:33.253Z,Active,null,null,6,null,Vina del Mar,null,Chile,Chinese,null,1,null,Fleet A,null,9698977,null,24-03-22,PSC,Otto Mrugalski,Damanjeet Singh Bakshi,Shailendra,null,"Labour Conditions - Health Protection, Medical cares, social security/ structure features (ship)/ safety net at the embarkation ladder found in bad condition.",Genco,Q1 - 2022,Caldera,null,"Health protection, medical care, social security",18425,Access / structural features (ship),null,17,2022PSC022,Genco Resolute Ltd,null,null,IFFR/PSC/RSLT-GSSM/2022/Mar/26,null, Sanjay Jaiswal,Kalicharan Ganguly,12-04-24,Genco Resolute,Bulk Carrier,Shanghai Waigaoqiao Shipbuilding Co/ Shanghai,null,9.59,Closed,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:10:33.289Z,Active,null,null,null,null,AMSA,null,Australia,Indian,null,1,null,Fleet A,null,9469259,null,15-11-22,PSC,"Capt. Justiniani, Mark",Glennford Gonsalves,Mahadev Dhandhiya,null,Water leaking from the FO purifier heater.,Genco,Q4 - 2022,Port Hedland,null,Propulsion and auxiliary machinery,13199,Other (machinery),null,16,2022PSC127,Baltic Bear Ltd,null,null,null,null,Ravikumar,Ramanathan Subramanian,08-04-24,Baltic Bear,Bulk Carrier,"Shanghai Jiangnan - Changxing Shipbuilding co., ltd",null,14.97,Closed,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:09:13.167Z,Active ,null,null,null,null,Abuja MOU,NA,Guinea,null,0,0,null,null,NA,9944144,null,11-07-23,PSC,Sekou Faro,Vijaya Ragavan,Deny Kattady,Indian + Filipino ,Nil findings,Norden Asset Management A/S,Q3 - 2023,Kamsar,null,,null,,Norden Asset Management A/S,null,2023PSC034,null,null,null,null,NA,Deepak Sasikumar,Niju Jose,01-05-25,Nord Volante,Tanker,"Hyundai Vietnam Shipbuilding Co, Ltd.",null,2.28,null,null,null,Wet,Tanker,Panama,Norden Asset Management A/S,null,SMC
2025-04-29T12:10:33.253Z,Active,null,null,12,null,Mediterranean MOU,null,Israel,Chinese,null,1,null,Fleet C,null,9557123,null,20-02-22,PSC,Alexander Wietz / Jonathan Bhonkar,Damanjeet Singh Bakshi,Shailendra,null,Multigas meter for checking atmosphere missing onboard,Genco,Q1 - 2022,Ashdod,null,0,610,0,null,17,2022PSC011,Genco Auvergne Ltd,null,null,IFFR/PSC/AVRN-GSSM/2022/Feb/2,null,Angarayan,Rohit Sharma,05-07-24,Genco Auvergne,Bulk Carrier,Yangzhou Dayang Shipbuilding,null,15.46,Closed,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:10:33.277Z,Active,null,null,null,NA,Abuja MoU,Nil,Liberia,Filipino/Indian,0,0,null,Fleet C,Nil,9707699,null,20-10-22,PSC,Robert Street,Glennford Gonsalves,Harsh Kapoor,null,Nil findings,Genco,Q4 - 2022,Buchanan,null,0,null,0,null,null,2022PSC116,Genco Enterprise Ltd,null,null,null,Nil,Angarayan,Vidhyadhay Vaidhya,30-07-24,Genco Enterprise,Bulk Carrier,Yangfan Group co Ltd China,null,8.62,Closed,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:10:33.306Z,Active,null,null,null,null,Tokyo MoU,null,China,Indian/Filippino/ Bangladeshi,null,1,null,Fleet A,null,9331555,null,11-05-23,PSC,Zhang Wei,Glennford Gonsalaves,Harsh Kapoor,null,The Power off of AIS at 04.04.2023 not recorded reason in log book.,Genco,Q2 - 2023,Taicang,null,Safety of Navigation,10113,Automatic Identification System (AIS),null,17,2023PSC047,Genco Tiberius Ltd,null,null,null,null,Ravikumar,Suresh Kumar Balamohan,12-04-24,Genco Tiberius,Bulk Carrier,Japan,null,18.26,Open,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:10:33.316Z,Active,null,null,null,NA,Mediterranean MOU,Nil,Turkey,Filippino,0,0,null,Fleet C,Nil,9714680,null,18-08-23,PSC,Tuncay Polat,Glennford Gonsalves,Shailendra,null,Nil findings,Genco,Q3 - 2023,Atakas,null,0,null,0,null,null,2023PSC081,Genco Mayflower Ltd,null,null,null,Nil,Angarayan,Kingshook Ghosh,26-07-24,Genco Mayflower,Bulk Carrier,Chengxi Shipbuilding Co. Ltd,null,8.31,Closed,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:10:33.336Z,Active,null,null,null,null,Tokyo MoU,null,China,Indian/Srilankan/Bangladeshi,null,1,null,Fleet A,null,9410959,null,08-03-24,PSC,"Liu Xiqing, Liu Yan",Glennford Gonsalves,Harsh Kapoor,null,Inboard screen of port sidelight not paint matt black,Genco,Q1 - 2024,Rizhao,null,Safety of Navigation,10109,"Lights, shapes, sound-signals",null,17,2024PSC37,Genco Titus Ltd,null,null,null,null,Ravikumar,Suresh kumar balamohan ,29-03-24,Genco Titus,Bulk Carrier,"Shangai Waigaoqiao Shipbuilding Co., Ltd.",null,17.47,Open,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:10:33.315Z,Active,null,null,null,null,Tokyo MoU,null,China,India /Srilanka,null,1,null,Fleet A,null,9410959,null,28-07-23,PSC,wang yongtang fang hui,Glennford Gonsalves,Harsh Kapoor,null,The quantity of two way VHF on bridge not marked,Genco,Q3 - 2023,Qingdao,null,Life saving appliances,11122,Radio life-saving appliances,null,17,2023PSC073,Genco Titus Ltd,null,null,null,null,Ravikumar,Suresh Kumar Balamohan,29-03-24,Genco Titus,Bulk Carrier,"Shangai Waigaoqiao Shipbuilding Co., Ltd.",null,17.47,Open,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:09:56.948Z,null,null,null,null,01308 Records of seafarers' daily hours of work or rest,Paris MOU,null,Italy,null,null,1,null,null,null,9299446,null,27-05-22,null,Port State Control (2018) 1st Edition (2018),Synergy Denmark,Synergy Denmark,Filipino,Records of seafarer's daily hours of work or rest not properly filled in: during enclosed space entry drill carried out on 11.04.2022 from 15:36 to 17:00 the second officer and one AB result in rest; during MOB drill carried out on the 16.04.2002 from 15:30 to 16:00 one AB results in rest.,Maersk,Q2 - 2022,Ravenna,null,Certificates and Documentation – Document,1308,Records of seafarers' daily hours of work or rest,null,null,580,null,null,null,null,null,Synergy Denmark,Synergy Denmark,26-07-24,Maersk Belfast,Tanker,"Guangzhou Shipyard International Co Ltd, China",null,19.45,null,586,null,Wet,Tanker,Singapore,Maersk,null,SDAS
2025-04-29T12:09:56.948Z,null,null,null,null,"02111 Beams, frames, floors-corrosion",Indian Ocean MOU,null,Pakistan,null,4,1,null,null,null,9341445,null,24-05-22,null,Port State Control (2018) 1st Edition (2018),Synergy Denmark,Synergy Denmark,Filipino,"Main deck of the ship is seriously corroded. In addition are pipes( e.g. Ballast, cargo) corroded. Stiffeners and supporters are corroded and partly holed. Stairs and gratings ( catwalk) holed and not solid.",Maersk,Q2 - 2022,Karachi,null,Structural condition,2111,"Beams, frames, floors-corrosion",null,null,591,null,null,null,null,null,Synergy Denmark,Synergy Denmark,01-05-25,Om Borneo,Tanker,"Guangzhou Shipyard International Co Ltd, China",null,18.1,null,597,null,Wet,Tanker,Liberia,OM Maritime,null,SDAS
2025-04-29T12:09:56.963Z,null,null,null,null,11106 Fast rescue boats,Mediterranean MOU,null,Tunisia,null,1,1,null,null,null,9431290,null,15-11-22,null,Port State Control (2018) 1st Edition (2018),null,null,null,"Before the ship leaves port, and at all times during voyage, all life saving appliances shall be in working order, and ready to immediate use. During operational of rescue boat engine, engine was unable to start and run continuously. Chief engineer determined, that the engine flooded, and was able to rectify within 15 minutes.",Maersk,Q4 - 2022,Bizerte,null,Life saving appliances,11106,Fast Rescue Boats,null,null,627,null,null,null,null,null,null,null,01-05-25,Maersk Katarina,Tanker,"Guangzhou Shipyard International Co Ltd, China",null,13.69,null,635,null,Wet,Tanker,Singapore,Maersk,null,SDAS
2025-04-29T12:09:56.965Z,null,null,null,null,null,AMSA,null,Australia,null,null,1,null,null,null,9555319,null,15-02-23,null,null,null,null,null,Explosion proof lights housing (located in pump room) bolts found unsecured compromising integrity of the lights. (Few places).,null,Q1 - 2023,Newcastle,null,Fire safety,7199,Other (fire safety),null,17,664,null,null,null,null,null,null,null,01-05-25,Maersk Mississippi,Tanker,Iwagi Zosen Co Ltd,null,15.24,null,672,null,Wet,Tanker,Singapore,Maersk,null,SDAS
2025-04-29T12:09:31.519Z,Active,null,null,null,NA ,Paris MOU,NA ,Belgium,null,0,0,null,null,NA ,9786841,Fleet A,23-01-25,PSC,Jean Van Bylen,Ravi Sekhar ,Navdeep Singh Bhalla,Indian,NA ,Nissen ,Q1-2025,Antwerp,null,NA,13102,NA,"Green Spanker Shipping
Asian Shipping S.A.
Seiun Shipping S.A.
Grace Hawk Shipping S.A.",NA,25PSC013,null,null,null,null,NA ,Raju Kalidindi,Karthick Nair,01-05-25,Ever Globe,Container,IMABARI SHIPBUILDING CO.LTD,null,5.64,null,null,null,Dry,Container,Panama,NISSEN Kaiun KK,null,SMSL
2025-04-29T12:09:31.518Z,Active,null,null,null,Ch X/ Engine & Steering Compartment- (Machinery status),Asia Pacific Mou,null,Vietnam,null,1,2,null,null,null,9288497,Fleet B,20-12-24,PSC,Dong Xnan,Ravi Sekhar ,Paurush Kumar Singh,"Indian, Sri Lankan",The Insulation Of Hot water pipe from engine room  to ACC - Broken,Wilson,Q4-2024,Phu My,null, ,13102, ,AM Ocean Silver Ltd.,16,24PSC0237,null,null,null,null,null,Umesh Iyengar,Abhinav,22-02-25,AM Ocean Silver,Bulk Carrier,TSUNEISHI SHIP BUILDING CO. LTD.,null,19.41,null,null,null,Dry,Bulk Carrier,Marshall Islands,Toko Kaiun,null,SMSL
2025-04-29T12:09:31.518Z,Active,null,null,null,NA ,Indian Ocean MOU,null,India,null,0,0,null,null,null,9427330,Fleet A,26-11-24,PSC,Subbarao,Ravi Sekhar ,Paurush Kumar Singh,"Master - Filipino
Crew     - Filipino / Indian",null,Wilson,Q4-2024,Tuticorin,null, ,13199, ,AM Ocean Pride Ltd,NA,24PSC0226,null,null,null,null,null,Umesh Iyengar,Allwyn Rodrigo,02-03-25,AM Ocean Pride,Bulk Carrier,Qingshan Shipyard,null,15.04,null,null,null,Dry,Bulk Carrier,Marshall Islands,Wilson INTL Trading Pte Ltd,null,SMSL
2025-04-29T12:09:56.947Z,null,null,null,null,NA,USCG,null,United States of America,null,0,0,null,null,null,9682980,null,17-05-22,null,Port State Control (2018) 1st Edition (2018),Synergy Denmark,Synergy Denmark,Filipino,Nil findings,BP Shipping,Q2 - 2022,Corpus Christi,null,null,null,null,null,null,559,null,null,null,null,null,Synergy Denmark,Synergy Denmark,01-05-25,Elisabeth Maersk,Tanker,STX Offshore and Shipbuilding,null,5.21,null,583,null,Wet,Tanker,Denmark,Maersk,null,SDAS
2025-04-29T12:09:56.948Z,null,null,null,null,NA,Paris MOU,null,United Kingdom,null,0,0,null,null,null,9256298,null,21-06-22,null,Port State Control (2018) 1st Edition (2018),Synergy Denmark,Synergy Denmark,Indian,Nil findings,Maersk,Q2 - 2022,Gibraltar,null,null,null,null,null,null,582,null,null,null,null,null,Synergy Denmark,Synergy Denmark,31-01-24,Maersk Kalea,Tanker,"Guangzhou Shipyard International Co Ltd, China",null,21.1,null,589,null,Wet,Tanker,Singapore,Maersk,null,SDAS
2025-04-29T12:09:30.915Z,Active,null,null,null,Ch VI/ Pollution prevention- (Ballast water Management),Tokyo MOU,null,China,null,4,1,null,null,null,9786841,Fleet B,08-12-23,PSC,Song Guofa,Ravi Sekhar ,Navdeep Singh Bhalla,Indian,The Water depth not recorded in the ballast water intake operation record on 06.12.2023. ,Nissen ,Q4 - 2023,Tianjin,null,NA ,18419,NA ,"Green Spanker Shipping
Asian Shipping S.A.
Seiun Shipping S.A.
Grace Hawk Shipping S.A.",17,23PSC165,null,null,null,null,null,Balji V,Karthick Nair,01-05-25,Ever Globe,Container,"Imabari Shipyard Saijo,Japan",null,5.64,null,null,null,Dry,Container,Panama,NISSEN Kaiun KK,null,SMSL
2025-04-29T12:09:56.949Z,null,null,null,null,01139 Maritime Labour Certificate,Mediterranean MOU,null,Turkey,null,0,0,null,null,null,9724544,null,07-09-22,null,Port State Control (2018) 1st Edition (2018),Synergy Denmark,Synergy Denmark,null,Nil findings,Pantheon tankers Management Ltd,Q3 - 2022,Port of Aliaga,null,null,1139,null,null,null,593,null,null,null,null,null,Synergy Denmark,Synergy Denmark,19-02-25,Sea Nimbus,Tanker,"Hyundai Mipo Dockyard Co Ltd, South Korea",null,5.2,null,600,null,Wet,Tanker,Marshall Islands,Pantheon Tankers Management Ltd,null,SDAS
2025-04-29T12:09:51.372Z,null,null,null,null,Cargo operation,Indian Ocean MoU,null,India,null,null,1,null,null,null,9489091,null,11-04-25,PSC,Prashant Manchalwar,Capt. Vibhor Mittal,Capt. Kishan Pal Singh,"Indian, Ukrainian",Observed DC source failure alarm for cargo operational panel in CCR,United Overseas Management,Q2 - 2025,Mumbai,null,Cargo operations including equipment,6107,Cargo operation,ATNY MARAH LLC,16,SNPL2025PSC045,null,null,null,null,null,Mr. Bhooshan Gupte,Abhilash Jha,01-05-25,UACC Marah,Tanker,Shina SB Shipyard CO. LTD. @Tongyoung South Korea,null,null,null,null,null,Wet,Tanker,Marshall Islands,United Overseas Management,No,SNPL
2025-04-29T12:09:51.283Z,null,null,null,null,NA,Riyadh MOU,NA,United Arab Emirates,null,0,0,null,null,NA,9989211,null,24-10-24,PSC,Emad Gaber,Capt. Vinod Nair,Capt. Jasmer Singh,Indian,Nil findings,"Meiho Kaiun Co. Ltd(99.0%)
Asian Shipping S. A. (1.0%)
",Q4 - 2024,Hamriyah,null,NA,NA,NA,"Meiho Kaiun Co. Ltd(99.0%)
Asian Shipping S. A. (1.0%)
",NA,SNPL2024PSC163,null,null,null,null,NA,Manas Ray,Ameya Joshi,01-05-25,Bow Cougar,Tanker,"ASAKAWA SHIPBULDING CO.,LTD.",null,0.65,null,null,null,Wet,Tanker,Panama,Meiho Kaiun Co Ltd,No,SNPL
2025-04-29T12:09:51.29Z, , , ,null,NA,Vina del Mar,NA,Peru,null,0,0,null,null,NA,9321873,null,13-01-25,PSC,Omar Almarafi,Vinod P Nair,Sandeep Chowdhary,Indian,Nil findings,MOL GROUP – MITSUI O.S.K. LINES,Q1 - 2025,Matarani, ,NA,NA,NA,MOL Chemical Tanker Pte. Ltd,NA,SNPL2025PSC005,null,null, ,null,NA,Mahesh Kulkarni,Jagdish Nandurkar,01-05-25,Ginga Jaguar,Tanker,"Shin Kurushima Dockyard Co., Ltd",null,19.66,null,null,null,Wet,Tanker,Panama,MOL Group – Mitsui OSK Lines,NO,SNPL
2025-04-29T12:09:51.37Z,null,null,null,null,null,Tokyo MoU,null,Canada,null,null,1,null,null,null,9367401,null,27-02-25,PSC,Raman Bhalla ,Capt. Ashutosh Manoli,Capt. Pushpendra Jha,Indian,"Rubber Mats in front of Electrical Panels at various places In Engine room not secured properly to floor plates, leading to potential slip, trip and fall.",Tufton Asset Management,Q1 - 2025,Vancouver,null,Other,99101,Other safety in general,ST7 Limited,16,SNPL2025PSC026,null,null,null,null,null,Mahesh Kulkarni,Santosh Kumar,01-05-25,Orchid Madeira,Tanker,Usuki Shipyard Co. Ltd.,null,16.23,null,null,null,Wet,Tanker,Marshall Islands,Tufton Asset Management,null,SNPL
2025-04-29T12:09:51.285Z,null,null,null,null,null,Asia-Pacific MoU,null,China,null,2,1,null,null,null,9458858,null,24-12-24,PSC,Lai Liang,Capt. Vibhor Mittal,Capt. Vibhor Mittal,Indian,Two foam hydrants leak slight in the front of the accomodation area,United Overseas Management,Q4 - 2024,Taicang,null,Fire safety,7110,Fire fighting equipment and appliances,Anty Shamiya LLC,17,SNPL2024PSC185,null,null,null,null,null,Bhooshan Gupte,Pankaj Singh,01-05-25,UACC Shamiya,Tanker,"Shina SB YARD CO., LTD.- Tong Yeong, South Korea",null,14.06,null,null,null,Wet,Tanker,Marshall Islands,United Overseas Management,NO,SNPL
2025-04-29T12:09:51.292Z,Active,null,null,null,null,Paris MoU,null,United Kingdom,null,1,1,null,null,null,9311256,B,31-01-25,PSC,Steven Davies,Capt. Ashutosh Manoli,Capt. Pushpendra Jha,Indian,"Wash rooms do not have facilities for hot
water.",Tufton Asset Management,Q1 - 2025,New Plymouth,null,"Accommodation, recreational facilities, food and catering",18302,Sanitary facilities,FUCHSIA SHIPPING LIMITED,16,SNPL2025PSC017,null,null,null,null,null,Mr. Mahesh Kulkarni,Mr. Krunal Ramesh,23-04-25,Monax,Tanker,USUKI SHIPYARD CO. LTD.,null,19.81,null,null,null,Wet,Tanker,Marshall Islands,Tufton Asset Management,null,SNPL
2025-04-29T12:09:51.278Z,null,null,null,null,null,Paris MoU,null,Netherlands,null,2,1,null,null,null,9791183,null,23-09-24,PSC,Sergio Peters,Capt. Vinod P Nair,Capt. Santoshkumar Gupta,Indian,Wages – TR ordinary seaman (MS. #18 on arrival crew list) is not being paid according applicable CBA (Singapore Maritime officers union (SMOU) OS rank. To be rectified and paid retroactively since joining date 17/03/2024.         ,Grace Ocean Pte Ltd,Q3 - 2024,Rotterdam,null,Conditions of employment,18203,Wages,Grace Ocean Pte Ltd.,17,SNPL2024PSC146,null,null,null,null,null,Manas Ray,Vidyadhar Vaidya,01-05-25,Fairchem Loyalty,Tanker,"Shin Kurushima Dockyard, Japan ",null,19.82,null,null,null,Wet,Tanker,Singapore,Grace Ocean Pte Ltd,null,SNPL
2025-04-29T12:09:51.245Z,null,null,null,null,null,Riyadh MOU,"Vessel staff had just completed maintenance of Main Engine Unit No 1. While carrying out Engine 
room inspection inspector noticed traces of oil near the Main Engine fuel pump. 
Root Cause: 
Vessel had just completed ME Unit Overhaul and inadvertently missed out to clean the area properly 
leading to have oil traces near fuel pump.",Saudi Arabia,null,null,1,null,null,"Corrective Action: 
Traces of oil has been cleaned from the fuel pump no.1 and also a through round of engine room was 
taken to ensure that no other oil traces are there in Engine room machinery. ",9489089,null,16-09-24,PSC,Mohammed Hajjar,Capt. Vibhor Mittal,Capt. Ryan Felleiro,Indian,A small oil leak was found on the main engine during the inspection,United Overseas Management,Q3 - 2024,Al Jubail,null,Propulsion and auxiliary machinery,13101,Propulsion main engine,United Overseas Management,10,SNPL2024PSC143,null,null,null,null,"Preventive Measures: 
Tanking a positive note of this observation, Technical superintendent held telcon briefing with vessel 
SMT to emphasize the need for proper housekeeping and maintaining a safe working environment 
during all work processes. After completion of Machinery maintenance in Engine room , area should 
be thoroughly cleaned and Engine room should be kept in the good housekeeping standard. 
This observation shall be shares with all fleet vessels for knowledge & experience sharing and to 
highlight the importance of proper housekeeping at all times. 
",Sujith Nair,Umesh Sasle,01-05-25,UACC Mansouria,Tanker,Shina SB Shipyard CO@Tongyoung South Korea,null,11.93,null,null,null,Wet,Tanker,Marshall Islands,United Overseas Management,null,SNPL
2025-04-29T12:09:51.244Z,null,null,null,null,NA,Vina del Mar,NA,Colombia,null,0,0,null,null,NA,9558402,null,29-08-24,PSC,N L Robinson,Capt. Vinod P Nair,Sandeep Chowdhary,Indian,NIL,MOL Group – Mitsui O.S.K. Lines,Q3 - 2024,Cartagena,null,NA,NA,NA,MOL Chemical Tankers Pte. Ltd.,NA,SNPL2024PSC130,null,null,null,null,NA,Mahesh Kulkarni,Jagdish Nandurkar,01-05-25,Nordic Marita,Tanker,Fokuoka Shipbuilding Co. Ltd..,null,13.18,null,null,null,Wet,Tanker,Denmark,MOL Group – Mitsui OSK Lines,null,SNPL
2025-04-29T12:09:51.191Z,null,null,null,null,NA,Paris MoU,NA,Belgium,null,null,1,null,null,NA,9458834,null,29-05-24,PSC,Mounir Benkhedda,Capt.Vibhor Mittal,Capt.Vikrant Singh,Indian,The quick closing valves on HFO service tank FM 01 and FM 07 control air heavily leaking and FM 01 not closing.,United Overseas Management,Q2 - 2024,Antwerp,null,Fire safety,7114,"Remote Means of control (opening,pumps,ventilation,etc.) Machinery spaces",United Overseas Management,17,SNPL2024PSC081,null,null,null,null,NA,Asish Sanyal,Deepak Goyal,01-05-25,UACC Riyadh,Tanker,"SLS SHIPBUILDING CO., LTD.- Tong Yeong, South Korea",null,14.34,null,null,null,Wet,Tanker,Marshall Islands,United Overseas Management,null,SNPL
2025-04-29T12:09:51.195Z, , , ,null,NA,Tokyo MoU,NA,South Korea,null,null,1,null,null,NA,9920069,null,30-05-24,PSC,Yoon Hak Keun,Capt. Vinod Nair,Capt. Santosh Kumar Gupta,Indian,Statement of compliance for Fuel Oil consumption reporting and CII not retained Onboard.,NISSEN Kaiun KK,Q2 - 2024,Ulsan, ,Pollution Prevention - MARPOL Annex VI,14699,Other MARPOL Annex VI,Southern Route Maritime S.A.,16,SNPL2024PSC083,null,null, ,null,NA,Manas Ray,Naren Joshi,01-05-25,Takao Galaxy,Tanker,"Shin Kurushima Dockyard Co., Ltd",null,3.17,null,null,null,Wet,Tanker,Panama,NISSEN Kaiun KK,null,SNPL
